os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),AMD Ryzen 7 9800X3D 8-Core Processor,AMD Radeon RX 9070 XT (RADV GFX1201),65438132,6.17.8-2-cachyos,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
281.127,3.55711,21.75,0,85,56,50,3125,1358,4.90756,254,10.6983,0,0,19747100474
243.803,4.10166,21.625,0,86,56,50,3110,1358,4.90756,254,10.6995,0,0,19847171009
248.06,4.03128,21.625,0,86,56,50,3110,1358,4.90756,254,10.6995,0,0,19947241524
224.408,4.45618,21.625,0,86,56,50,3110,1358,4.90756,254,10.6995,0,0,20047311979
262.784,3.80541,21.625,0,86,56,50,3110,1358,4.90756,254,10.6995,0,0,20147382144
248.361,4.0264,21.625,0,86,56,50,3110,1358,4.90756,254,10.6995,0,0,20247451567
241.61,4.13889,21.4286,0,85,56,50,3115,1358,4.90756,254,10.6981,0,0,20347509368
222.17,4.50105,21.4286,0,85,56,50,3115,1358,4.90756,254,10.6981,0,0,20447578280
263.654,3.79286,21.4286,0,85,56,50,3115,1358,4.90756,254,10.6981,0,0,20547651630
242.446,4.12463,21.4286,0,85,56,50,3115,1358,4.90756,254,10.6981,0,0,20647725411
235.306,4.24978,21.4286,0,85,56,50,3115,1358,4.90756,254,10.6981,0,0,20747794343
218.379,4.57919,21.6352,0,85,56,50,3115,1358,4.90756,254,10.699,0,0,20847864908
262.354,3.81164,21.6352,0,85,56,50,3115,1358,4.90756,254,10.699,0,0,20947933740
232.295,4.30486,21.6352,0,85,56,50,3115,1358,4.90756,254,10.699,0,0,21048002932
242.344,4.12636,21.6352,0,85,56,50,3115,1358,4.90756,254,10.699,0,0,21148071724
225.732,4.43003,21.6352,0,85,56,50,3115,1358,4.90756,254,10.699,0,0,21248141538
265.267,3.76978,21.5909,0,85,56,50,3098,1358,4.90756,246,10.6999,0,0,21348213706
219.141,4.56328,21.5909,0,85,56,50,3098,1358,4.90756,246,10.6999,0,0,21448282287
241.624,4.13866,21.5909,0,85,56,50,3098,1358,4.90756,246,10.6999,0,0,21548355317
222.391,4.49658,21.5909,0,85,56,50,3098,1358,4.90756,246,10.6999,0,0,21648428507
259.419,3.85477,21.5909,0,85,56,50,3098,1358,4.90756,246,10.6999,0,0,21748496207
